Stock,52 Week High,Date of High,52 Week Low,Date of Low,Current Close,Difference (High - Close),Status
RENUKA.NS,56.2,2023-10-18,36.55,2024-06-04,53.77,-2.43,Wait
KPIL.NS,1449.0,2024-09-06,597.183,2023-11-07,1365.1,-83.9,Wait
BALRAMCHIN.NS,664.85,2024-09-27,343.5,2024-03-14,651.45,-13.4,Wait
BPCL.NS,376.0,2024-09-30,153.337,2023-10-26,362.85,-13.15,Wait
BBTC.NS,2900.0,2024-09-30,1166.024,2023-10-19,2864.0,-36.0,Wait
WESTLIFE.NS,974.95,2023-10-03,708.95,2024-03-14,923.2,-51.75,Wait
PHOENIXLTD.NS,2062.575,2024-07-18,861.55,2023-10-26,1763.35,-299.225,Wait
EXIDEIND.NS,618.055,2024-06-25,240.806,2023-10-26,491.95,-126.105,Wait
SJVN.NS,168.075,2024-02-05,62.498,2023-10-26,130.44,-37.635,Wait
PRAJIND.NS,825.0,2024-09-27,444.253,2024-03-15,792.6,-32.4,Wait
NBCC.NS,209.026,2024-08-28,56.654,2023-10-04,175.91,-33.116,Wait
SUNDARMFIN.NS,5535.85,2024-09-27,2920.928,2023-10-26,5285.4,-250.45,Wait
ARE&M.NS,1770.18,2024-06-26,592.513,2023-10-26,1363.1,-407.08,Wait
EPL.NS,269.0,2024-09-09,167.809,2024-06-05,256.76,-12.24,Wait
PCBL.NS,577.75,2024-09-27,163.659,2023-10-03,556.65,-21.1,Wait
IOC.NS,188.903,2024-02-08,78.083,2023-10-26,177.2,-11.703,Wait
POLYCAB.NS,7297.854,2024-06-25,3783.582,2024-01-11,6960.45,-337.403,Wait
NLCINDIA.NS,310.06,2024-07-16,115.465,2023-10-26,287.65,-22.41,Wait
OIL.NS,767.9,2024-08-30,187.18,2023-10-03,574.95,-192.95,Wait
BRIGADE.NS,1450.82,2024-06-25,567.159,2023-10-03,1398.35,-52.47,Wait
MAPMYINDIA.NS,2743.677,2024-06-21,1597.57,2024-03-14,2135.75,-607.927,Wait
CHAMBLFERT.NS,571.071,2024-06-21,258.028,2023-10-26,527.7,-43.371,Wait
AJANTPHARM.NS,3485.0,2024-09-12,1631.046,2023-10-26,3274.6,-210.4,Wait
HINDPETRO.NS,457.15,2024-09-05,150.621,2023-10-26,433.45,-23.7,Wait
CIPLA.NS,1683.0,2024-09-17,1122.482,2023-10-26,1667.9,-15.1,Wait
COCHINSHIP.NS,2975.819,2024-07-08,430.138,2023-10-26,1708.0,-1267.819,Wait
ZFCVINDIA.NS,18230.473,2024-06-03,12961.117,2024-05-15,16244.15,-1986.322,Wait
JSWINFRA.NS,360.359,2024-07-04,141.967,2023-10-03,343.15,-17.209,Wait
SBFC.NS,105.81,2024-09-23,72.4,2024-03-13,92.35,-13.46,Wait
COLPAL.NS,3890.0,2024-09-30,1929.885,2023-10-03,3835.75,-54.25,Wait
RECLTD.NS,650.077,2024-07-12,250.14,2023-10-26,553.4,-96.677,Wait
DEEPAKNTR.NS,3169.0,2024-08-01,1916.913,2023-10-26,2902.2,-266.8,Wait
EIHOTEL.NS,500.83,2024-04-10,204.989,2023-10-26,377.55,-123.28,Wait
IDEA.NS,19.18,2024-06-28,9.79,2024-09-20,10.36,-8.82,Wait
ABFRL.NS,364.4,2024-09-27,198.75,2024-03-14,348.9,-15.5,Wait
GRANULES.NS,721.0,2024-08-30,318.103,2023-10-26,552.75,-168.25,Wait
PFC.NS,573.855,2024-07-12,216.502,2023-10-26,489.4,-84.455,Wait
CEATLTD.NS,3263.0,2024-09-27,2032.985,2023-10-09,3194.95,-68.05,Wait
NAUKRI.NS,8260.35,2024-09-23,3957.088,2023-10-26,8210.0,-50.35,Wait
SIEMENS.NS,7968.7,2024-07-05,3238.461,2023-10-31,7233.95,-734.75,Wait
SUNPHARMA.NS,1960.35,2024-09-30,1058.936,2023-10-31,1954.8,-5.55,Wait
CANBK.NS,125.496,2024-06-03,66.613,2023-10-26,111.61,-13.886,Wait
IRB.NS,78.029,2024-06-07,30.175,2023-10-04,61.59,-16.439,Wait
HAL.NS,5659.173,2024-07-09,1750.112,2023-10-26,4400.55,-1258.624,Wait
GSPL.NS,464.599,2024-09-02,251.736,2023-11-01,424.9,-39.699,Wait
NSLNISP.NS,73.7,2024-02-05,39.15,2023-11-02,54.25,-19.45,Wait
DIVISLAB.NS,5582.95,2024-09-23,3275.198,2023-11-06,5458.2,-124.75,Wait
JIOFIN.NS,394.7,2024-04-23,204.25,2023-10-23,352.65,-42.05,Wait
NATCOPHARM.NS,1639.0,2024-09-12,720.777,2023-11-02,1416.8,-222.2,Wait
BOSCHLTD.NS,38179.898,2024-09-27,18376.639,2023-10-04,37668.5,-511.398,Wait
EIDPARRY.NS,875.0,2024-08-30,449.038,2023-10-26,837.2,-37.8,Wait
PRESTIGE.NS,2072.812,2024-06-24,591.533,2023-10-03,1837.45,-235.362,Wait
CONCOR.NS,1174.426,2024-06-03,663.52,2023-11-01,909.6,-264.826,Wait
GAIL.NS,246.3,2024-07-31,112.632,2023-10-31,233.12,-13.18,Wait
ANGELONE.NS,3881.177,2024-01-09,1806.623,2023-10-03,2552.0,-1329.177,Wait
IRCTC.NS,1134.051,2024-05-23,630.516,2023-10-26,927.1,-206.951,Wait
