SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_Date,Close_Price,Volume,Difference,Percentage_Difference,Status
20MICRONS,EQ,201.0,22-DEC-2023,     63.05,28-MAR-2023,299.75,117160.0,-98.75,-49.129,WAIT
360ONE,EQ,735.0,14-DEC-2023,    395.10,21-MAR-2023,1039.6,396212.0,-304.6,-41.442,WAIT
5PAISA,EQ,758.45,09-JAN-2024,    270.10,02-MAR-2023,538.45,82713.0,220.0,29.007,WAIT
AARTECH,EQ,189.5,11-SEP-2023,     95.05,19-JUL-2023,75.39,383603.0,114.11,60.216,WAIT
AARTIDRUGS,EQ,645.75,25-JUL-2023,    313.90,20-MAR-2023,513.2,169484.0,132.55,20.527,WAIT
AARTIIND,EQ,691.75,19-JAN-2024,    438.00,26-OCT-2023,582.95,1044720.0,108.8,15.728,WAIT
AARTIPHARM,EQ,560.0,12-JAN-2024,    234.80,03-FEB-2023,636.7,124470.0,-76.7,-13.696,WAIT
AAVAS,EQ,2045.95,10-FEB-2023,   1335.50,12-JUN-2023,1816.45,138683.0,229.5,11.217,WAIT
ABB,EQ,4990.05,11-JAN-2024,   2752.05,02-FEB-2023,8055.0,266469.0,-3064.95,-61.421,WAIT
ABCAPITAL,EQ,199.3,03-JUL-2023,    133.05,30-JAN-2023,237.48,3740534.0,-38.18,-19.157,WAIT
ABFRL,EQ,265.5,01-FEB-2023,    184.40,23-MAY-2023,349.2,4079376.0,-83.7,-31.525,WAIT
ABSLAMC,EQ,511.95,15-JAN-2024,    307.00,28-MAR-2023,719.0,302876.0,-207.05,-40.443,WAIT
ACC,EQ,2407.1,08-JAN-2024,   1592.35,29-MAR-2023,2513.45,468506.0,-106.35,-4.418,WAIT
ACE,EQ,943.45,19-JAN-2024,    310.10,27-JAN-2023,1388.75,191350.0,-445.3,-47.199,WAIT
ACI,EQ,731.8,13-FEB-2023,    494.15,03-AUG-2023,721.8,519925.0,10.0,1.366,WAIT
ACLGATI,EQ,177.65,14-SEP-2023,     97.50,27-MAR-2023,112.97,967887.0,64.68,36.409,WAIT
ADANIENSOL,EQ,2799.95,24-JAN-2023,    631.50,01-MAR-2023,1009.65,1170771.0,1790.3,63.94,WAIT
ADANIENT,EQ,3508.0,24-JAN-2023,   1017.45,03-FEB-2023,3135.85,1607132.0,372.15,10.609,WAIT
ADANIGREEN,EQ,1964.2,24-JAN-2023,    439.10,28-FEB-2023,1902.7,1368742.0,61.5,3.131,NEED TO LOOK
ADANIPORTS,EQ,1229.9,09-JAN-2024,    395.10,03-FEB-2023,1448.2,2041592.0,-218.3,-17.749,WAIT
ADFFOODS,EQ,261.95,11-SEP-2023,    133.46,28-MAR-2023,264.4,341512.0,-2.45,-0.935,WAIT
ADSL,EQ,201.25,23-JAN-2024,     71.55,29-MAR-2023,270.0,596754.0,-68.75,-34.161,WAIT
ADVANIHOTR,EQ,139.95,24-JAN-2024,     66.55,29-MAR-2023,72.6,118742.0,67.35,48.124,WAIT
ADVENZYMES,EQ,391.95,18-JAN-2024,    225.00,28-MAR-2023,502.9,302298.0,-110.95,-28.307,WAIT
AEROFLEX,EQ,196.35,31-AUG-2023,    140.90,21-DEC-2023,178.06,489389.0,18.29,9.315,NEED TO LOOK
AFFLE,EQ,1336.9,01-JAN-2024,    866.50,15-MAY-2023,1588.4,132365.0,-251.5,-18.812,WAIT
AGI,EQ,1089.0,13-OCT-2023,    296.00,27-JAN-2023,960.45,230765.0,128.55,11.804,WAIT
AGSTRA,EQ,124.5,12-JAN-2024,     44.45,31-MAR-2023,99.32,585549.0,25.18,20.225,WAIT
AHL,EQ,355.5,15-JAN-2024,    201.95,16-MAR-2023,384.0,142239.0,-28.5,-8.017,WAIT
AHLEAST,EQ,173.45,18-JAN-2024,     83.35,28-MAR-2023,158.14,361155.0,15.31,8.827,NEED TO LOOK
AHLUCONT,EQ,872.55,15-DEC-2023,    447.65,20-MAR-2023,1145.8,67615.0,-273.25,-31.316,WAIT
AIAENG,EQ,3909.75,24-JAN-2024,   2428.00,25-JAN-2023,4336.4,79749.0,-426.65,-10.912,WAIT
AJANTPHARM,EQ,2353.95,04-JAN-2024,   1131.70,24-MAR-2023,3201.6,181920.0,-847.65,-36.01,WAIT
ALEMBICLTD,EQ,101.25,16-JAN-2024,     55.20,14-MAR-2023,141.35,632131.0,-40.1,-39.605,WAIT
ALKEM,EQ,5315.5,05-JAN-2024,   2980.00,30-JAN-2023,6052.8,131363.0,-737.3,-13.871,WAIT
ALKYLAMINE,EQ,2797.7,19-JUN-2023,   2120.00,21-NOV-2023,2293.25,82727.0,504.45,18.031,WAIT
ALLCARGO,EQ,110.15,01-FEB-2023,     61.41,26-OCT-2023,65.05,3849965.0,45.1,40.944,WAIT
ALPA,EQ,114.8,03-JAN-2024,     50.30,28-MAR-2023,139.2,4899204.0,-24.4,-21.254,WAIT
AMBER,EQ,3969.0,18-JAN-2024,   1762.50,27-MAR-2023,4809.1,368226.0,-840.1,-21.167,WAIT
AMBUJACEM,EQ,557.9,05-JAN-2024,    315.30,02-FEB-2023,632.55,4213803.0,-74.65,-13.381,WAIT
AMIORG,EQ,1388.95,24-AUG-2023,    847.35,01-FEB-2023,1742.0,233647.0,-353.05,-25.418,WAIT
AMRUTANJAN,EQ,775.45,30-JUN-2023,    554.05,31-MAR-2023,816.05,206858.0,-40.6,-5.236,WAIT
ANANDRATHI,EQ,3000.0,24-JAN-2024,    735.55,28-FEB-2023,3925.35,120570.0,-925.35,-30.845,WAIT
ANANTRAJ,EQ,332.05,12-JAN-2024,     90.60,01-FEB-2023,704.4,798368.0,-372.35,-112.137,WAIT
ANDHRAPAP,EQ,674.9,11-OCT-2023,    391.30,26-JUN-2023,105.8,148239.0,569.1,84.324,WAIT
ANDHRSUGAR,EQ,133.7,24-JAN-2023,    100.50,28-MAR-2023,112.87,549292.0,20.83,15.58,WAIT
ANGELONE,EQ,3896.0,09-JAN-2024,    999.00,01-MAR-2023,2561.7,1161825.0,1334.3,34.248,WAIT
ANUP,EQ,3130.65,23-JAN-2024,    950.05,27-MAR-2023,2323.25,75211.0,807.4,25.79,WAIT
APARINDS,EQ,6133.0,01-JAN-2024,   1358.55,31-JAN-2023,9528.6,89022.0,-3395.6,-55.366,WAIT
APEX,EQ,285.8,12-JAN-2024,    184.00,29-MAR-2023,249.2,66322.0,36.6,12.806,WAIT
APLAPOLLO,EQ,1800.0,06-SEP-2023,   1047.00,22-MAY-2023,1584.15,1241088.0,215.85,11.992,WAIT
APLLTD,EQ,993.6,24-JAN-2024,    462.30,29-MAR-2023,1205.5,411044.0,-211.9,-21.326,WAIT
APOLLOHOSP,EQ,6428.7,23-JAN-2024,   4123.00,30-JAN-2023,7199.15,442791.0,-770.45,-11.985,WAIT
APOLLOTYRE,EQ,545.65,20-JAN-2024,    303.35,14-MAR-2023,547.85,1378977.0,-2.2,-0.403,WAIT
APTECHT,EQ,422.82,30-MAY-2023,    221.43,14-MAR-2023,218.43,200837.0,204.39,48.34,WAIT
APTUS,EQ,372.45,19-JAN-2024,    234.05,03-MAR-2023,357.6,389639.0,14.85,3.987,NEED TO LOOK
ARE&M,EQ,843.0,05-JAN-2024,    546.00,28-FEB-2023,1425.95,1352982.0,-582.95,-69.152,WAIT
ARIHANTCAP,EQ,81.0,11-OCT-2023,     33.25,27-MAR-2023,108.49,632736.0,-27.49,-33.938,WAIT
ARIHANTSUP,EQ,401.7,20-JAN-2024,    158.55,26-OCT-2023,420.8,411632.0,-19.1,-4.755,WAIT
ARTEMISMED,EQ,193.7,08-JAN-2024,     61.45,14-MAR-2023,284.4,120005.0,-90.7,-46.825,WAIT
ARVIND,EQ,302.8,16-JAN-2024,     77.70,27-FEB-2023,370.85,341178.0,-68.05,-22.474,WAIT
ARVINDFASN,EQ,494.7,19-JAN-2024,    261.10,14-MAR-2023,592.65,220810.0,-97.95,-19.8,WAIT
ARVSMART,EQ,497.9,10-JAN-2024,    224.35,20-MAR-2023,826.45,71944.0,-328.55,-65.987,WAIT
ASAHIINDIA,EQ,651.0,20-SEP-2023,    419.65,28-MAR-2023,789.45,358239.0,-138.45,-21.267,WAIT
ASAL,EQ,489.95,24-JAN-2024,    249.00,28-MAR-2023,787.4,115937.0,-297.45,-60.71,WAIT
ASHAPURMIN,EQ,483.2,08-DEC-2023,     96.65,16-MAR-2023,300.95,244227.0,182.25,37.717,WAIT
ASHOKA,EQ,167.8,19-JAN-2024,     71.65,29-MAR-2023,228.62,1266861.0,-60.82,-36.246,WAIT
ASHOKLEY,EQ,191.5,16-AUG-2023,    133.10,28-MAR-2023,235.4,10194694.0,-43.9,-22.924,WAIT
ASIANENE,EQ,297.0,26-DEC-2023,     51.50,02-MAR-2023,363.4,107242.0,-66.4,-22.357,WAIT
