Company Name,Industry,Symbol,Series
360 ONE WAM Ltd.,Financial Services,360ONE,EQ
3M India Ltd.,Diversified,3MINDIA,EQ
ABB India Ltd.,Capital Goods,ABB,EQ
ACC Ltd.,Construction Materials,ACC,EQ
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ
Adani Power Ltd.,Power,ADANIPOWER,EQ
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ
Affle (India) Ltd.,Information Technology,AFFLE,EQ
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ
Alok Industries Ltd.,Textiles,ALOKINDS,EQ
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ
Anant Raj Ltd.,Realty,ANANTRAJ,EQ
Angel One Ltd.,Financial Services,ANGELONE,EQ
Apar Industries Ltd.,Capital Goods,APARINDS,EQ
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ
Astral Ltd.,Capital Goods,ASTRAL,EQ
Atul Ltd.,Chemicals,ATUL,EQ
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ
Axis Bank Ltd.,Financial Services,AXISBANK,EQ
BASF India Ltd.,Chemicals,BASF,EQ
BEML Ltd.,Capital Goods,BEML,EQ
BLS International Services Ltd.,Consumer Services,BLS,EQ
BSE Ltd.,Financial Services,BSE,EQ
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ
Bank of Baroda,Financial Services,BANKBARODA,EQ
Bank of India,Financial Services,BANKINDIA,EQ
Bank of Maharashtra,Financial Services,MAHABANK,EQ
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ
Bharat Electronics Ltd.,Capital Goods,BEL,EQ
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ
Biocon Ltd.,Healthcare,BIOCON,EQ
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ
Birlasoft Ltd.,Information Technology,BSOFT,EQ
Blue Dart Express Ltd.,Services,BLUEDART,EQ
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ
CESC Ltd.,Power,CESC,EQ
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ
CRISIL Ltd.,Financial Services,CRISIL,EQ
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ
Canara Bank,Financial Services,CANBK,EQ
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ
Capri Global Capital Ltd.,Financial Services,CGCL,EQ
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ
Cello World Ltd.,Consumer Durables,CELLO,EQ
Central Bank of India,Financial Services,CENTRALBK,EQ
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ
