Symbol,Close,Gain,Loss,Average Gain,Average Loss,RS,RSI,Action
RENUKA,53.05,4.93,0.0,0.687,0.305,2.254,69.266,Wait
KPIL,1407.55,86.5,0.0,13.666,8.85,1.544,60.695,Wait
BALRAMCHIN,654.8,42.05,0.0,8.573,2.553,3.358,77.052,Wait
BPCL,367.3,22.2,0.0,3.64,1.772,2.054,67.26,Wait
BBTC,2858.9,164.35,0.0,38.179,19.174,1.991,66.569,Wait
WESTLIFE,930.45,53.75,0.0,10.025,4.067,2.465,71.141,Wait
PHOENIXLTD,1858.55,45.45,0.0,21.179,15.623,1.356,57.549,Wait
EXIDEIND,497.3,25.55,0.0,4.242,3.287,1.29,56.341,Wait
SJVN,133.84,7.85,0.0,1.102,0.955,1.154,53.567,Wait
PRAJIND,801.55,41.4,0.0,8.377,4.04,2.074,67.465,Wait
NBCC,177.41,8.32,0.0,1.909,1.894,1.008,50.189,Wait
SUNDARMFIN,5339.0,246.7,0.0,69.797,31.028,2.249,69.226,Wait
ARE&M,1392.15,62.2,0.0,8.249,11.043,0.747,42.759,Wait
EPL,255.05,10.05,0.0,2.499,1.915,1.305,56.62,Wait
PCBL,572.05,29.85,0.0,8.852,2.692,3.288,76.682,Wait
IOC,180.01,8.65,0.0,1.482,0.885,1.675,62.615,Wait
POLYCAB,7054.8,307.4,0.0,54.871,28.021,1.958,66.196,Wait
NLCINDIA,289.4,13.5,0.0,3.496,2.277,1.535,60.551,Wait
OIL,586.75,22.55,0.0,7.166,9.033,0.793,44.24,Wait
BRIGADE,1414.5,69.75,0.0,13.064,4.394,2.973,74.831,Wait
MAPMYINDIA,2162.5,75.15,0.0,17.279,12.736,1.357,57.567,Wait
CHAMBLFERT,525.25,17.15,0.0,5.737,4.4,1.304,56.595,Wait
AJANTPHARM,3333.05,149.0,0.0,39.504,26.141,1.511,60.179,Wait
HINDPETRO,437.95,16.0,0.0,4.105,2.025,2.028,66.97,Wait
CIPLA,1672.5,50.7,0.0,9.603,6.249,1.537,60.579,Wait
